date,client,pipeline,agent,model,input_tokens,output_tokens,cost_usd,duration_ms,status
2026-05-14,agilemind,scout,sage,haiku,,,,704838,complete
2026-05-14,agilemind,scout,vera,opus,,,,1821741,complete
2026-05-15,agilemind,scout,ivy,sonnet,,,,5473,complete
2026-05-19,off-celigo,scout,sage,haiku,,,,625195,complete
2026-05-19,homage,scout,vera,opus,,,,636134,complete
2026-05-19,homage,scout,rex,sonnet,,,,783728,complete
2026-05-19,homage,scout,ivy,sonnet,,,,416813,complete
2026-05-19,homage,scout,flo,opus,,,,1397476,complete
2026-05-19,homage,scout,hawk,opus,,,,1283472,complete
2026-05-19,agilemind,scout,hawk,opus,145338,6111,2.6384,501235,complete
2026-05-19,agilemind,scout,petra,opus,487633,31160,9.6515,2111262,complete
2026-05-19,agilemind,scout,quinn,sonnet,1219784,170185,6.2121,1565488,complete
2026-05-19,agilemind,scout,sol,sonnet,1280328,172225,6.4244,10333,complete
2026-05-19,agilemind,scout,mira,opus,555012,49913,12.0687,546274,complete
