date,client,pipeline,agent,model,input_tokens,output_tokens,cost_usd,duration_ms,status
2026-05-14,agilemind,scout,sage,haiku,,,,704838,complete
2026-05-14,agilemind,scout,vera,opus,,,,1821741,complete
2026-05-15,agilemind,scout,ivy,sonnet,,,,5473,complete
2026-05-19,off-celigo,scout,sage,haiku,,,,625195,complete
2026-05-19,homage,scout,vera,opus,,,,636134,complete
2026-05-19,homage,scout,rex,sonnet,,,,783728,complete
2026-05-19,homage,scout,ivy,sonnet,,,,416813,complete
2026-05-19,homage,scout,flo,opus,,,,1397476,complete
2026-05-19,homage,scout,hawk,opus,,,,1283472,complete
2026-05-19,agilemind,scout,hawk,opus,145338,6111,2.6384,501235,complete
2026-05-19,agilemind,scout,petra,opus,487633,31160,9.6515,2111262,complete
2026-05-19,agilemind,scout,quinn,sonnet,1219784,170185,6.2121,1565488,complete
2026-05-19,agilemind,scout,sol,sonnet,1280328,172225,6.4244,10333,complete
2026-05-19,agilemind,scout,mira,opus,555012,49913,12.0687,546274,complete
2026-05-20,_inference,scout,infer-client,gemini-2.5-flash,2175,11,0.000166,,complete
2026-05-20,_inference,scout,infer-client,gemini-2.5-flash,2327,8,0.000177,,complete
2026-05-22,_inference,scout,infer-client,gemini-2.5-flash,3811,10,0.000289,,complete
2026-05-22,_inference,scout,infer-client,gemini-2.5-flash,3811,10,0.000289,,complete
2026-05-22,peerless,scout,sage,haiku,2201977,124555,2.2598,823828,complete
2026-05-22,peerless,scout,vera,opus,,,,5072,complete
2026-05-22,peerless,scout,vera,opus,1290994,119517,28.3287,772947,complete
2026-05-22,peerless,scout,rex,sonnet,558899,88653,3.0065,568710,complete
2026-05-22,peerless,scout,ivy,sonnet,322629,36990,1.5227,454334,complete
2026-05-22,peerless,scout,flo,opus,171446,23375,4.3248,235754,complete
2026-05-22,peerless,scout,vera,opus,873589,145208,23.9944,1628400,complete
2026-05-22,peerless,scout,ivy,sonnet,509015,47116,2.2338,722640,complete
2026-05-22,peerless,scout,hawk,opus,973686,96135,21.8154,824864,complete
2026-05-22,peerless,scout,petra,opus,726904,74351,16.4799,426583,complete
2026-05-22,peerless,scout,quinn,sonnet,,,,9090,complete
2026-05-22,peerless,scout,mira,opus,1056852,126445,25.3362,655438,complete
